LoanID,CustomerID,LoanType,OriginalAmount,OutstandingBalance,InterestRatePct,LoanStatus
800095,100243,Personal,14981.22,12577.65,7.39,Current
800096,100255,Auto,38562.84,22356.58,4.05,Late
800097,100257,Personal,12323.06,4424.8,7.13,Current
800098,100260,Personal,29808.15,27876.93,12.31,Current
800099,100262,Mortgage,156183.57,91387.43,4.58,Current
800100,100264,Personal,17472.55,11124.13,11.66,Current
800101,100266,Personal,14269.92,9264.07,9.9,Current
800102,100269,Auto,44734.36,13514.07,6.46,Late
800103,100272,Mortgage,340382.02,283831.87,7.44,Current
800104,100274,Auto,34207.0,12678.98,6.3,Current
800105,100277,Auto,32842.62,23203.7,9.67,Current
800106,100281,Personal,28072.36,18973.04,8.63,Current
800107,100285,Mortgage,260494.66,204100.67,6.61,Current
800108,100288,Auto,41117.94,19376.82,7.67,Current
800109,100290,Mortgage,246313.92,184281.3,5.82,Current
800110,100290,Personal,19292.28,7636.37,6.26,Current
800111,100291,Personal,12426.26,8884.61,9.09,Current
800112,100294,Mortgage,188913.71,56598.99,5.03,Current
800113,100294,Personal,6645.85,5951.76,11.78,Current
800114,100299,Personal,2487.45,610.33,13.73,Current
800115,100302,Auto,39424.93,7116.49,5.1,Late
800116,100306,Auto,40447.23,32951.06,7.34,Current
800117,100307,Mortgage,268484.71,92687.86,5.32,Current
800118,100311,Personal,7756.82,6333.03,8.0,Current
800119,100312,Personal,25174.91,17941.47,12.01,Current
800120,100313,Auto,11753.56,11387.73,8.94,Current
800121,100316,Personal,21317.02,14356.94,5.17,Current
800122,100317,Personal,7181.75,1455.48,13.06,Current
800123,100318,Mortgage,195973.06,133738.86,7.37,Current
800124,100319,Mortgage,115574.3,51778.89,3.61,Current
800125,100324,Mortgage,293476.12,229416.89,6.97,Current
800126,100325,Auto,36589.05,12962.52,8.4,Current
800127,100328,Personal,19994.99,14004.57,10.31,Default
800128,100329,Mortgage,310957.84,52570.12,6.71,Current
800129,100330,Personal,2929.56,2669.29,13.16,Current
800130,100334,Mortgage,106837.07,65107.96,6.36,Current
800131,100334,Personal,22403.82,20632.55,10.42,Current
800132,100336,Mortgage,106832.88,28558.89,4.45,Current
800133,100339,Personal,29257.22,12584.22,10.25,Current
800134,100345,Auto,14669.2,12884.9,7.9,Current
800135,100349,Personal,21235.82,3329.59,11.43,Late
800136,100351,Personal,28989.7,21195.31,10.09,Default
800137,100354,Personal,26681.35,13776.88,5.35,Current
800138,100355,Personal,2290.4,1875.12,7.87,Current
800139,100363,Auto,21117.24,18588.21,6.96,Current
800140,100365,Personal,14512.71,14133.68,13.49,Late
800141,100368,Personal,7645.64,6450.64,6.0,Current
800142,100374,Auto,16636.1,15429.56,5.99,Current
800143,100379,Mortgage,225669.66,59445.95,7.1,Current
800144,100385,Personal,25557.33,9185.45,5.45,Default
800145,100385,Auto,22545.05,17514.15,4.47,Late
800146,100387,Personal,27313.23,22277.66,11.86,Current
800147,100388,Auto,13234.86,3625.28,8.54,Current
800148,100390,Personal,16184.33,14783.98,13.68,Current
800149,100394,Personal,27947.06,10595.62,13.11,Current
800150,100396,Mortgage,158067.35,142138.4,5.56,Current
800151,100396,Auto,43353.24,14394.5,8.86,Current
800152,100398,Personal,25499.2,12607.5,8.41,Current
800153,100399,Mortgage,255601.45,231084.71,3.83,Current
800154,100401,Personal,9311.05,3607.65,8.72,Current
800155,100404,Personal,12566.64,11900.05,7.18,Current
800156,100405,Personal,7259.86,2944.27,10.45,Current
800157,100408,Mortgage,308462.89,262232.78,6.54,Current
800158,100409,Personal,25059.33,13434.27,5.34,Current
800159,100409,Mortgage,296773.64,137688.97,6.56,Late
800160,100413,Mortgage,165378.09,60987.08,4.64,Default
800161,100417,Personal,14546.81,9143.06,8.99,Current
800162,100420,Auto,31268.31,8460.08,4.63,Current
800163,100423,Mortgage,260948.0,128477.79,4.23,Late
800164,100424,Auto,28094.9,18590.71,5.23,Late
800165,100426,Auto,17883.65,17098.58,4.56,Current
800166,100427,Mortgage,151999.14,119333.56,6.45,Current
800167,100429,Auto,23948.77,15335.94,4.15,Current
800168,100431,Personal,18810.69,8992.52,10.79,Late
800169,100439,Auto,13121.25,3398.3,7.75,Current
800170,100442,Mortgage,273106.98,150716.48,4.96,Current
800171,100445,Personal,19443.11,17839.2,12.48,Current
800172,100446,Mortgage,324998.8,125833.22,4.17,Late
800173,100449,Personal,20874.08,9466.77,11.48,Current
800174,100449,Personal,2586.7,615.28,5.9,Default
800175,100450,Mortgage,178998.23,59590.28,4.33,Current
800176,100451,Personal,6156.31,1021.17,12.13,Current
800177,100452,Auto,13751.02,7527.05,4.41,Current
800178,100452,Personal,4230.32,2200.85,7.74,Current
800179,100453,Mortgage,297309.48,238372.16,4.32,Current
800180,100462,Personal,6718.04,3272.52,9.28,Current
800181,100463,Mortgage,211326.89,109412.02,6.59,Current
800182,100464,Mortgage,167702.64,121577.24,4.97,Current
800183,100466,Personal,10176.27,9425.62,12.59,Late
800184,100469,Mortgage,187780.55,146564.47,4.48,Current
800185,100476,Auto,18895.24,3503.68,4.8,Current
800186,100476,Auto,9420.66,8414.26,7.38,Current
800187,100478,Auto,40008.72,21008.61,9.29,Current
800188,100483,Personal,2421.06,604.06,11.06,Current
800189,100484,Personal,17525.08,10830.52,7.99,Current
800190,100484,Personal,25735.57,22509.24,5.52,Default
800191,100488,Personal,17441.42,14152.37,9.15,Current
800192,100490,Mortgage,106424.87,61515.73,6.43,Current
800193,100491,Personal,25822.84,16569.11,7.38,Current
800194,100493,Auto,29661.91,6403.97,7.48,Current
800195,100494,Personal,3659.25,866.42,9.75,Current
800196,100494,Mortgage,288546.45,50653.83,5.75,Current
800197,100495,Mortgage,241694.47,78103.12,7.26,Current
800198,100496,Personal,27982.16,26002.46,9.07,Current
800199,100496,Auto,41960.22,36119.05,5.58,Current
800200,100501,Personal,24685.07,17261.32,5.87,Current
800201,100501,Mortgage,301405.26,140440.85,5.53,Current
800202,100502,Mortgage,242998.7,125598.18,7.22,Current
800203,100507,Auto,40931.5,16778.72,8.81,Current
800204,100513,Personal,21269.83,15122.2,13.12,Current
800205,100519,Personal,7713.34,7476.39,9.08,Current
800206,100522,Personal,13668.57,9156.24,8.6,Current
800207,100522,Personal,2655.87,1274.72,12.85,Current
800208,100524,Auto,41424.24,16811.57,9.36,Current
800209,100526,Personal,7357.13,6318.33,5.25,Current
800210,100527,Personal,5014.75,3649.45,13.52,Current
800211,100531,Auto,19347.89,16740.9,5.29,Late
800212,100532,Auto,36638.5,33682.53,6.95,Current
800213,100533,Personal,26511.79,24691.91,10.02,Current
800214,100535,Mortgage,210302.34,87931.33,7.48,Current
800215,100535,Auto,10518.88,9648.31,7.11,Current
800216,100546,Personal,4989.02,3586.11,8.73,Current
800217,100547,Auto,11125.28,8365.0,5.21,Current
800218,100548,Auto,23871.27,16859.14,7.58,Current
800219,100551,Personal,24325.77,20015.31,11.93,Current
800220,100554,Personal,17036.43,13119.45,12.44,Current
800221,100560,Personal,22552.29,12618.03,6.88,Current
800222,100561,Personal,15651.95,3927.69,13.99,Current
800223,100564,Mortgage,223200.18,45400.88,6.92,Current
800224,100566,Personal,16130.53,15115.99,13.28,Current
800225,100567,Auto,29483.0,14048.12,8.89,Current
800226,100572,Personal,28028.16,9653.09,7.75,Current
800227,100579,Personal,28491.5,13332.84,6.77,Current
800228,100580,Personal,27177.7,18112.26,12.97,Current
800229,100583,Personal,18234.65,15119.66,8.61,Current
800230,100584,Auto,16963.11,12556.95,4.55,Current
800231,100585,Auto,8953.02,4995.38,8.75,Current
800232,100589,Auto,41817.32,28590.75,8.75,Current
800233,100590,Auto,18147.35,7064.11,5.43,Current
800234,100591,Auto,26954.92,19641.3,4.77,Current
800235,100591,Personal,27762.96,17624.9,11.85,Current
800236,100592,Personal,15289.8,12274.79,13.56,Current
800237,100599,Personal,3551.29,3270.28,10.82,Current
800238,100600,Personal,8679.34,1590.57,5.25,Current
800239,100600,Personal,7450.66,7262.55,12.83,Current
800240,100601,Auto,37004.75,30237.1,7.94,Current
800241,100604,Auto,16295.31,10959.85,6.42,Current
800242,100606,Personal,27771.08,15864.53,7.23,Late
800243,100607,Auto,23532.42,7407.95,7.98,Current
800244,100608,Auto,13174.81,8617.68,4.6,Current
800245,100611,Mortgage,333017.6,273289.71,3.62,Current
800246,100614,Personal,13877.47,13172.16,8.55,Current
800247,100616,Personal,4106.46,1700.33,10.48,Current
800248,100621,Personal,13490.1,2304.09,6.02,Current
800249,100623,Auto,26421.52,23584.42,4.63,Current
800250,100623,Personal,17224.49,3985.86,12.17,Late
800251,100624,Personal,20625.95,13651.02,12.56,Current
800252,100627,Auto,35371.58,6792.76,4.76,Current
800253,100629,Mortgage,87781.98,35257.95,4.84,Current
800254,100633,Personal,20696.95,10967.18,13.59,Current
800255,100634,Auto,36258.58,35159.13,9.84,Current
800256,100638,Mortgage,219898.49,53387.25,4.88,Current
800257,100642,Mortgage,321080.99,128160.59,5.48,Current
800258,100645,Auto,35996.4,7529.17,8.33,Default
800259,100648,Personal,12947.42,9765.69,13.5,Default
800260,100648,Auto,11691.09,7976.88,8.17,Current
800261,100650,Mortgage,218835.58,107980.85,3.88,Current
800262,100653,Personal,5794.98,4349.72,8.16,Current
800263,100661,Personal,26800.99,19592.54,5.19,Current
800264,100663,Personal,27590.33,14597.32,5.39,Current
800265,100666,Mortgage,220828.58,170906.02,3.78,Current
800266,100666,Personal,29415.59,25023.77,7.03,Current
800267,100669,Personal,27706.86,15079.53,6.93,Current
800268,100673,Personal,16617.22,5193.8,9.68,Current
800269,100673,Personal,2264.6,1792.21,12.35,Current
800270,100675,Auto,34699.94,12156.73,6.0,Current
800271,100675,Personal,15091.66,4756.55,11.79,Current
800272,100677,Personal,18812.74,16661.78,12.93,Current
800273,100683,Mortgage,85304.0,56014.73,5.57,Current
800274,100685,Mortgage,108468.75,74731.43,5.44,Current
800275,100687,Personal,14177.81,3153.39,9.65,Current
800276,100688,Personal,15712.45,3290.36,8.91,Current
800277,100689,Personal,6686.85,6149.68,9.52,Current
800278,100691,Personal,5033.85,1363.71,10.73,Current
800279,100694,Auto,24773.77,12217.69,7.79,Current
800280,100699,Auto,31385.17,22303.53,9.55,Current
800281,100699,Personal,16907.39,15690.48,9.47,Current
800282,100707,Auto,24184.99,9169.31,5.27,Current
800283,100708,Personal,10514.92,6655.04,13.47,Current
800284,100708,Mortgage,179199.2,166909.1,7.33,Current
800285,100711,Personal,9151.24,7834.05,6.23,Current
800286,100722,Mortgage,285375.22,52042.42,5.31,Current
800287,100727,Personal,17784.8,15526.32,13.22,Current
800288,100727,Personal,10689.63,8780.55,9.77,Current
800289,100733,Personal,5093.9,3886.71,9.43,Current
800290,100734,Mortgage,129689.62,86605.22,3.64,Current
800291,100735,Personal,17339.01,3339.78,11.04,Current
800292,100737,Personal,13946.52,8978.75,12.65,Late
800293,100737,Personal,15227.7,3315.01,7.8,Current
800294,100738,Personal,2882.48,1042.07,11.77,Current
800295,100741,Mortgage,330188.67,213504.64,3.57,Current
800296,100743,Auto,37304.85,36474.32,4.7,Current
800297,100746,Auto,14982.01,14099.85,5.12,Default
800298,100748,Personal,19009.75,8816.66,8.6,Current
800299,100750,Auto,17097.29,3356.39,6.41,Current
800300,100754,Auto,38393.83,23321.46,5.23,Late
800301,100755,Personal,29029.69,7229.78,6.42,Default
800302,100757,Personal,13916.1,8617.28,5.33,Current
800303,100758,Mortgage,187484.08,178050.07,7.32,Current
800304,100763,Personal,20054.61,8992.09,12.96,Current
800305,100768,Personal,15344.35,3401.48,9.91,Current
800306,100768,Personal,26955.69,14999.31,5.89,Current
800307,100771,Personal,23567.71,10144.34,7.67,Current
800308,100773,Personal,14951.94,8890.6,6.01,Current
800309,100775,Personal,12063.01,11764.98,6.34,Current
800310,100777,Personal,22724.62,9007.47,5.6,Current
800311,100778,Mortgage,340711.32,226887.79,5.01,Current
800312,100778,Auto,35326.85,14526.75,7.8,Current
800313,100782,Auto,13429.7,7214.73,9.3,Current
800314,100784,Auto,11770.55,5427.71,9.75,Current
800315,100785,Mortgage,183369.05,112377.13,4.08,Current
800316,100788,Auto,21367.37,18246.41,6.49,Current
800317,100790,Auto,13026.26,7575.83,6.14,Current
800318,100791,Personal,7486.17,7041.5,5.55,Current
800319,100792,Mortgage,152095.68,132847.78,7.02,Current
800320,100798,Mortgage,82694.08,66279.73,4.53,Current
800321,100801,Auto,15613.18,10768.04,5.28,Current
800322,100806,Auto,38053.59,29842.45,6.5,Late
800323,100815,Personal,26535.54,19044.39,8.09,Current
800324,100815,Personal,16639.98,7846.5,7.21,Current
800325,100816,Auto,11332.17,6051.83,6.15,Late
800326,100821,Personal,22396.05,16599.39,12.9,Current
800327,100824,Auto,19651.86,17455.15,4.37,Late
800328,100833,Personal,2602.66,1101.66,9.1,Current
800329,100835,Auto,44222.65,15277.46,5.52,Current
800330,100838,Personal,22204.31,7681.67,7.93,Current
800331,100839,Personal,25792.18,13955.26,10.36,Current
800332,100839,Mortgage,88502.55,76853.03,4.14,Current
800333,100844,Auto,8334.97,3674.18,5.26,Current
800334,100845,Mortgage,238986.08,53325.41,4.81,Current
800335,100847,Personal,9347.23,8863.28,7.71,Current
800336,100850,Personal,26152.79,12753.36,11.13,Default
800337,100851,Personal,29491.64,6406.49,5.22,Current
800338,100851,Mortgage,172731.25,149783.04,6.21,Current
800339,100852,Personal,24287.21,7075.06,12.22,Current
800340,100853,Personal,29778.83,5703.39,8.5,Current
800341,100864,Personal,17930.09,10931.4,12.51,Current
800342,100865,Personal,5630.67,5005.59,12.5,Current
800343,100868,Personal,15433.49,2916.29,5.46,Current
800344,100872,Personal,19472.54,9039.05,9.56,Current
800345,100876,Personal,27710.73,26517.51,12.41,Current
800346,100878,Personal,26216.28,20154.6,13.97,Current
800347,100880,Auto,30386.44,14288.52,7.24,Current
800348,100884,Personal,5520.36,1200.65,6.34,Current
800349,100884,Personal,22503.53,12857.47,10.39,Default
800350,100887,Personal,29729.55,15528.8,13.17,Current
800351,100888,Personal,18105.8,11518.49,7.0,Current
800352,100890,Personal,6030.36,1597.42,9.5,Current
800353,100891,Personal,5768.17,3530.66,7.51,Current
800354,100892,Mortgage,171753.92,58498.05,4.53,Late
800355,100892,Auto,13953.09,5111.52,6.44,Current
800356,100897,Personal,21951.82,12203.97,8.44,Current
800357,100898,Personal,24150.81,22178.42,13.56,Current
800358,100901,Auto,18602.29,6573.18,8.56,Current
800359,100902,Mortgage,166455.45,57840.5,5.7,Current
800360,100906,Auto,19767.86,11909.13,5.52,Current
800361,100906,Auto,18886.83,5712.13,4.93,Current
800362,100911,Personal,22224.38,6015.22,6.56,Late
800363,100915,Personal,21803.91,11843.42,10.96,Current
800364,100915,Auto,21857.21,6141.54,4.5,Current
800365,100918,Personal,17946.74,9274.9,9.22,Current
800366,100920,Personal,23805.58,13683.49,11.88,Current
800367,100920,Personal,2708.26,1280.53,7.5,Current
800368,100926,Auto,28911.19,17920.49,9.36,Late
800369,100927,Personal,3375.37,2133.18,6.0,Current
800370,100928,Personal,12655.01,10946.27,9.82,Current
800371,100933,Auto,42642.91,23996.12,4.23,Current
800372,100933,Auto,39696.48,37956.61,8.72,Current
800373,100938,Personal,25867.5,21269.1,5.48,Current
800374,100942,Mortgage,86897.68,76101.29,4.41,Current
800375,100943,Mortgage,148547.54,110120.0,7.37,Current
800376,100949,Personal,24677.58,6171.08,6.89,Current
800377,100957,Personal,18226.08,15776.05,6.42,Late
800378,100959,Personal,15771.12,9812.27,8.9,Current
800379,100959,Personal,29275.61,27390.72,7.53,Current
800380,100960,Mortgage,306712.23,70319.93,4.71,Current
800381,100961,Mortgage,256459.46,153538.57,6.63,Current
800382,100962,Personal,15999.98,7203.0,6.61,Current
800383,100963,Auto,39521.59,25268.72,9.25,Current
800384,100965,Mortgage,217249.32,63710.36,5.01,Current
800385,100966,Personal,28575.89,14743.14,9.76,Current
800386,100967,Auto,24061.57,3873.5,5.72,Current
800387,100970,Personal,24272.95,18084.74,9.61,Current
800388,100973,Auto,23397.79,3685.44,7.89,Current
800389,100975,Personal,25307.24,14930.33,8.12,Current
800390,100975,Personal,4623.54,1299.14,7.31,Late
800391,100979,Personal,23689.8,10587.09,13.64,Current
800392,100982,Mortgage,107229.57,67819.17,5.48,Current
800393,100983,Personal,14708.05,11431.11,13.48,Current
800394,100983,Personal,27240.56,25505.92,6.74,Late
800395,100985,Auto,23644.83,14464.39,6.33,Current
800396,100989,Mortgage,317533.1,181183.48,6.52,Current
800397,100992,Personal,2775.69,691.54,9.52,Current
800398,100999,Personal,23350.28,12548.32,5.87,Current
800399,100999,Mortgage,308391.45,116417.38,4.46,Current
800400,101001,Personal,7058.67,5714.45,8.04,Current
800401,101005,Personal,27228.6,20437.02,12.1,Current
800402,101007,Personal,19899.52,6531.73,11.07,Current
800403,101017,Personal,21705.02,13203.1,12.87,Current
800404,101018,Personal,3093.88,1958.92,8.09,Current
800405,101019,Personal,15373.62,3308.09,12.87,Current
800406,101020,Auto,32779.24,30042.16,7.64,Current
800407,101021,Auto,31921.42,29895.21,6.57,Current
800408,101026,Auto,12277.71,10541.64,7.99,Current
800409,101031,Personal,14949.47,3404.83,12.06,Current
800410,101031,Personal,2922.92,1879.16,10.36,Current
800411,101032,Mortgage,313906.32,298107.16,5.61,Current
800412,101033,Mortgage,258917.49,152925.33,7.31,Late
800413,101037,Personal,25909.14,7667.63,10.27,Current
800414,101038,Personal,29027.87,28222.33,10.37,Current
800415,101042,Personal,9330.71,6903.55,11.59,Current
800416,101043,Personal,13209.35,9386.08,5.67,Current
800417,101046,Mortgage,97980.88,36226.49,4.41,Current
800418,101052,Mortgage,333512.23,80973.17,5.03,Late
800419,101054,Personal,20111.77,7026.36,7.72,Current
800420,101054,Personal,28891.68,14467.6,8.95,Late
800421,101055,Personal,18437.87,17379.13,9.57,Default
800422,101055,Personal,6633.47,6226.23,9.98,Current
800423,101057,Personal,17807.77,11564.16,5.21,Current
800424,101059,Personal,25385.19,6512.59,11.52,Current
800425,101059,Personal,4761.8,2148.7,12.56,Current
800426,101063,Personal,4604.56,4426.15,8.53,Current
800427,101065,Personal,4909.06,4650.14,7.69,Current
800428,101065,Personal,3967.17,1159.33,13.74,Current
800429,101068,Personal,18283.96,16100.22,5.87,Current
800430,101069,Personal,27354.69,11679.97,6.25,Current
800431,101070,Mortgage,272329.42,146500.68,4.94,Current
800432,101075,Auto,22943.45,6495.72,6.87,Current
800433,101078,Personal,22868.35,11137.63,10.3,Late
800434,101080,Auto,35541.86,7512.37,6.15,Current
800435,101084,Mortgage,164689.1,160605.82,5.24,Current
800436,101086,Mortgage,133684.58,66416.43,7.07,Current
800437,101086,Personal,25320.42,9183.76,8.36,Current
800438,101088,Personal,6363.94,2054.72,8.86,Current
800439,101093,Auto,44353.38,29341.04,8.99,Current
800440,101093,Mortgage,264401.71,195342.05,7.24,Current
800441,101095,Auto,41287.75,6957.47,8.56,Current
800442,101102,Mortgage,153549.74,108862.4,4.31,Current
800443,101105,Personal,15505.72,11461.69,6.19,Default
800444,101116,Personal,14035.5,9457.07,12.7,Late
800445,101119,Personal,27762.2,10794.32,8.1,Current
800446,101125,Personal,15860.08,11211.57,12.36,Default
800447,101125,Auto,26836.43,23675.19,7.49,Current
800448,101129,Auto,31125.7,18612.94,5.92,Current
800449,101129,Personal,13774.33,10881.04,6.28,Current
800450,101132,Personal,7189.94,6409.51,13.4,Current
800451,101136,Auto,26320.29,12433.11,9.37,Current
800452,101139,Auto,28526.32,19827.98,5.86,Late
800453,101142,Personal,29798.1,27901.47,6.97,Current
800454,101145,Personal,22865.62,22362.87,11.31,Current
800455,101147,Personal,28210.81,15225.14,9.56,Current
800456,101149,Auto,11683.84,4593.6,4.61,Current
800457,101150,Personal,10543.01,7517.62,10.67,Current
800458,101153,Auto,29401.6,16415.37,6.99,Current
800459,101154,Mortgage,343117.58,320992.44,5.12,Current
800460,101163,Personal,5776.07,2777.12,8.37,Current
800461,101164,Auto,43884.16,24576.49,9.27,Current
800462,101165,Auto,39106.56,13134.93,9.91,Late
800463,101171,Mortgage,135866.11,26586.94,4.99,Current
800464,101174,Personal,28444.56,10074.49,9.62,Current
800465,101174,Personal,22164.42,16835.47,9.32,Current
800466,101177,Personal,21930.28,11383.53,10.24,Current
800467,101178,Mortgage,129140.91,61600.2,7.04,Current
800468,101181,Mortgage,333206.05,96563.01,6.74,Current
800469,101183,Mortgage,104434.81,28730.17,4.59,Current
800470,101183,Mortgage,151599.34,44755.68,6.63,Current
800471,101184,Mortgage,278935.25,265585.52,4.32,Current
800472,101189,Mortgage,263641.96,207110.77,6.77,Late
800473,101191,Personal,15521.1,3802.71,9.48,Current
800474,101200,Mortgage,115362.66,98397.73,4.66,Current
800475,101204,Mortgage,105732.25,100048.55,7.24,Current
800476,101208,Personal,12372.93,10949.74,11.71,Current
800477,101213,Personal,29140.78,19683.18,13.58,Current
800478,101213,Auto,23886.91,3693.16,5.73,Current
800479,101221,Auto,11584.73,9739.59,7.96,Current
800480,101222,Mortgage,326344.76,291149.01,4.75,Current
800481,101230,Mortgage,110014.02,94943.95,3.79,Current
800482,101231,Mortgage,136473.14,123272.47,4.08,Current
800483,101232,Personal,9684.97,5838.89,13.88,Current
800484,101235,Auto,38048.58,6067.92,8.81,Current
800485,101242,Personal,13192.89,6335.4,9.6,Current
800486,101243,Personal,12210.16,3175.92,9.58,Current
800487,101245,Personal,23116.83,21718.45,6.75,Current
800488,101247,Personal,4301.22,1171.0,5.22,Current
800489,101251,Mortgage,142276.27,50864.42,6.67,Current
800490,101260,Auto,34098.41,28626.73,5.06,Current
800491,101261,Auto,35955.34,10226.52,5.86,Current
800492,101261,Personal,19692.51,15887.79,6.69,Current
800493,101264,Auto,40826.03,35389.58,6.08,Current
800494,101265,Mortgage,113700.65,110123.94,5.32,Current
800495,101267,Personal,21993.41,14890.43,9.05,Current
800496,101269,Mortgage,287034.1,244187.2,4.09,Current
800497,101270,Personal,14517.65,4695.59,13.43,Current
800498,101281,Personal,18710.74,11063.77,6.87,Default
800499,101282,Personal,18307.23,16459.71,7.17,Current
800500,101284,Personal,7645.43,3078.28,12.96,Current
800501,101287,Auto,41018.7,32503.42,8.61,Current
800502,101288,Mortgage,276292.4,83686.95,7.01,Current
800503,101289,Personal,4874.04,2102.46,10.18,Current
800504,101290,Personal,8332.15,3893.52,8.65,Late
800505,101291,Mortgage,159882.84,125094.91,5.42,Current
800506,101297,Personal,16906.15,7510.01,12.02,Current
