CustomerID,FullName,Gender,Age,Geography,TenureYears,EstimatedAnnualIncome,CreditScore,IsActiveMember,Exited,BranchID
100034,Customer_100034,Male,46,UK,4,91552.73,643,1,0,1.0
100035,Customer_100035,Female,29,France,10,32296.47,687,1,0,2.0
100036,Customer_100036,Female,56,UK,13,18390.15,782,1,0,1.0
100037,Customer_100037,Female,43,UK,9,52581.45,615,1,0,1.0
100038,Customer_100038,Male,21,France,2,36184.77,598,0,0,2.0
100039,Customer_100039,Male,41,UK,14,39593.83,552,1,0,1.0
100040,Customer_100040,Male,45,Germany,12,53944.17,663,0,0,3.0
100041,Customer_100041,Male,54,France,6,34202.3,550,0,0,2.0
100042,Customer_100042,Male,38,Germany,8,37214.04,620,0,0,3.0
100043,Customer_100043,Male,52,Germany,15,40149.73,587,1,0,3.0
100044,Customer_100044,Male,44,UK,6,81374.25,736,1,0,1.0
100045,Customer_100045,Female,26,Germany,0,42572.18,617,0,0,3.0
100046,Customer_100046,Male,25,Germany,2,24085.66,685,1,0,3.0
100047,Customer_100047,Female,55,UK,9,24520.86,535,0,0,1.0
100048,Customer_100048,Male,56,UK,15,44715.63,665,1,0,1.0
100049,Customer_100049,Male,46,Germany,11,25265.18,565,1,0,3.0
100050,Customer_100050,Male,60,UK,9,20793.35,623,0,0,1.0
100051,Customer_100051,Female,55,UK,5,55905.39,821,0,0,1.0
100052,Customer_100052,Male,50,UK,7,57150.83,725,1,0,1.0
100053,Customer_100053,Female,31,Germany,0,35587.99,645,1,0,3.0
100054,Customer_100054,Female,63,Germany,5,47933.58,850,1,1,3.0
100055,Customer_100055,Male,48,Germany,9,45710.33,586,1,0,3.0
100056,Customer_100056,Female,37,Germany,14,55078.44,742,1,0,3.0
100057,Customer_100057,Male,34,France,14,55136.23,540,1,1,2.0
100058,Customer_100058,Male,45,France,13,16000.0,637,1,0,2.0
100059,Customer_100059,Male,22,UK,0,37691.9,554,1,0,1.0
100060,Customer_100060,Male,50,UK,12,53023.04,674,1,0,1.0
100061,Customer_100061,Female,31,Germany,3,34916.66,659,1,0,3.0
100062,Customer_100062,Female,46,France,9,42689.83,632,1,0,2.0
100063,Customer_100063,Female,36,France,15,58879.01,737,1,0,2.0
100064,Customer_100064,Male,39,Germany,14,43557.68,612,0,1,3.0
100065,Customer_100065,Female,33,France,10,82783.88,680,1,0,2.0
100066,Customer_100066,Male,40,France,4,69742.75,717,1,0,2.0
100067,Customer_100067,Male,65,France,8,39817.87,544,1,0,2.0
100068,Customer_100068,Male,59,UK,11,38418.87,599,0,0,1.0
100069,Customer_100069,Female,46,UK,8,16000.0,659,0,0,1.0
100070,Customer_100070,Female,42,France,6,36261.03,702,0,0,2.0
100071,Customer_100071,Male,52,UK,6,22844.23,762,0,0,1.0
100072,Customer_100072,Female,56,France,9,46396.45,639,1,1,2.0
100073,Customer_100073,Female,32,Spain,0,44990.95,631,0,0,4.0
100074,Customer_100074,Female,41,UK,15,57443.66,590,1,0,1.0
100075,Customer_100075,Female,20,UK,1,78741.58,680,0,0,1.0
100076,Customer_100076,Female,55,UK,15,41506.43,633,0,0,1.0
100077,Customer_100077,Female,67,UK,0,117197.08,634,0,1,1.0
100078,Customer_100078,Female,43,Germany,8,46631.34,648,1,0,3.0
100079,Customer_100079,Male,18,France,6,23291.12,696,1,0,2.0
100080,Customer_100080,Female,49,Germany,9,32613.86,613,1,0,3.0
100081,Customer_100081,Male,31,Germany,6,35514.24,597,1,0,3.0
100082,Customer_100082,Female,34,France,14,54823.93,687,0,0,2.0
100083,Customer_100083,Male,50,Germany,0,27423.69,428,0,0,3.0
100084,Customer_100084,Male,45,UK,15,36729.51,610,1,0,1.0
100085,Customer_100085,Male,36,UK,11,39064.01,569,0,0,1.0
100086,Customer_100086,Male,34,UK,12,34329.85,745,1,1,1.0
100087,Customer_100087,Male,44,Germany,2,60509.87,622,1,0,3.0
100088,Customer_100088,Male,37,France,1,56051.13,613,1,0,2.0
100089,Customer_100089,Male,29,UK,6,70996.09,651,1,0,1.0
100090,Customer_100090,Male,38,France,5,36187.3,610,0,1,2.0
100091,Customer_100091,Female,46,UK,12,72154.31,625,0,1,1.0
100092,Customer_100092,Female,40,Germany,14,22734.21,662,0,1,3.0
100093,Customer_100093,Female,25,France,6,22486.09,623,1,0,2.0
100094,Customer_100094,Male,54,UK,12,24323.89,623,0,1,1.0
100095,Customer_100095,Male,18,UK,0,42174.46,579,1,0,1.0
100096,Customer_100096,Female,37,France,11,72149.46,568,1,0,2.0
100097,Customer_100097,Male,35,UK,1,32031.05,660,1,0,1.0
100098,Customer_100098,Male,44,UK,10,33891.27,678,1,0,1.0
100099,Customer_100099,Female,49,UK,6,38109.42,548,0,0,1.0
100100,Customer_100100,Female,56,Spain,6,54349.87,712,1,0,4.0
100101,Customer_100101,Male,33,Spain,4,33877.06,712,0,0,4.0
100102,Customer_100102,Female,49,Germany,6,33037.13,728,1,0,3.0
100103,Customer_100103,Male,44,UK,13,22925.31,677,1,0,1.0
100104,Customer_100104,Female,21,Spain,12,32472.55,703,0,0,4.0
100105,Customer_100105,Male,65,Germany,5,71345.01,819,1,0,3.0
100106,Customer_100106,Male,25,Germany,4,43754.14,632,0,0,3.0
100107,Customer_100107,Female,47,France,8,30106.32,577,0,0,2.0
100108,Customer_100108,Male,47,UK,10,73254.11,540,1,0,1.0
100109,Customer_100109,Female,45,UK,2,32275.99,787,0,0,1.0
100110,Customer_100110,Male,36,Spain,11,79570.99,788,0,0,4.0
100111,Customer_100111,Female,52,France,15,78987.75,586,1,0,2.0
100112,Customer_100112,Female,23,UK,13,43072.07,600,1,0,1.0
100113,Customer_100113,Male,41,UK,8,21398.53,631,1,0,1.0
100114,Customer_100114,Female,35,France,5,117677.15,747,0,0,2.0
100115,Customer_100115,Male,34,UK,5,49996.04,558,0,0,1.0
100116,Customer_100116,Male,47,Spain,11,36303.73,508,0,0,4.0
100117,Customer_100117,Male,55,Germany,7,64581.45,818,1,0,3.0
100118,Customer_100118,Female,38,Germany,1,57610.56,678,1,1,3.0
100119,Customer_100119,Female,51,France,10,75761.62,689,1,0,2.0
100120,Customer_100120,Female,43,France,2,31174.89,640,1,0,2.0
100121,Customer_100121,Female,31,France,15,48471.82,690,1,0,2.0
100122,Customer_100122,Female,39,France,6,24631.55,541,1,1,2.0
100123,Customer_100123,Male,38,UK,5,56685.59,592,1,0,1.0
100124,Customer_100124,Female,34,France,0,41568.56,663,1,0,2.0
100125,Customer_100125,Female,47,UK,2,47661.49,485,0,1,1.0
100126,Customer_100126,Male,45,France,15,39323.1,632,1,0,2.0
100127,Customer_100127,Female,23,UK,8,37514.39,628,1,0,1.0
100128,Customer_100128,Male,22,UK,14,28416.38,632,1,0,1.0
100129,Customer_100129,Male,47,UK,15,59941.15,614,0,1,1.0
100130,Customer_100130,Male,32,France,0,82108.08,580,0,0,2.0
100131,Customer_100131,Male,46,UK,6,32693.26,518,0,0,1.0
100132,Customer_100132,Male,51,Spain,13,53880.19,666,0,1,4.0
100133,Customer_100133,Female,27,France,7,51016.66,632,1,0,2.0
100134,Customer_100134,Female,25,UK,8,42153.33,552,1,0,1.0
100135,Customer_100135,Female,62,France,9,21130.16,660,1,0,2.0
100136,Customer_100136,Male,46,UK,11,23381.63,633,1,0,1.0
100137,Customer_100137,Male,37,Spain,15,29554.26,620,1,0,4.0
100138,Customer_100138,Male,31,France,14,16040.51,493,1,0,2.0
100139,Customer_100139,Female,36,Germany,10,79145.15,706,1,1,3.0
100140,Customer_100140,Male,28,UK,9,49557.62,563,1,1,1.0
100141,Customer_100141,Female,53,France,5,41437.54,660,1,0,2.0
100142,Customer_100142,Female,33,France,1,16000.0,594,1,1,2.0
100143,Customer_100143,Female,55,Spain,11,18484.41,626,1,0,4.0
100144,Customer_100144,Female,37,France,0,41955.77,741,1,0,2.0
100145,Customer_100145,Male,29,France,11,101940.58,695,1,1,2.0
100146,Customer_100146,Female,37,UK,7,30669.84,740,1,0,1.0
100147,Customer_100147,Female,18,UK,12,61953.17,680,1,0,1.0
100148,Customer_100148,Female,41,France,15,33842.37,685,1,1,2.0
100149,Customer_100149,Female,40,France,8,43057.11,521,1,0,2.0
100150,Customer_100150,Female,52,UK,9,72550.1,631,1,0,1.0
100151,Customer_100151,Female,19,Germany,7,35945.05,638,1,0,3.0
100152,Customer_100152,Male,56,Spain,5,30787.92,747,1,0,4.0
100153,Customer_100153,Female,52,UK,1,79503.53,617,1,0,1.0
100154,Customer_100154,Female,57,France,0,42869.93,675,1,0,2.0
100155,Customer_100155,Male,41,UK,11,68628.78,672,0,0,1.0
100156,Customer_100156,Female,54,Germany,14,30855.27,742,1,0,3.0
100157,Customer_100157,Male,24,UK,0,79096.85,645,1,0,1.0
100158,Customer_100158,Female,51,Germany,5,47503.43,717,1,0,3.0
100159,Customer_100159,Male,33,Germany,9,51076.48,527,0,1,3.0
100160,Customer_100160,Male,22,Germany,11,44562.95,534,1,0,3.0
100161,Customer_100161,Female,29,UK,11,33455.15,484,0,0,1.0
100162,Customer_100162,Male,42,Spain,11,41968.21,714,1,0,4.0
100163,Customer_100163,Male,32,UK,1,34415.4,706,1,0,1.0
100164,Customer_100164,Male,47,UK,4,64680.86,722,1,0,1.0
100165,Customer_100165,Male,20,France,7,38332.34,604,0,1,2.0
100166,Customer_100166,Female,18,UK,1,21418.21,613,0,1,1.0
100167,Customer_100167,Female,58,Germany,5,19725.83,646,0,0,3.0
100168,Customer_100168,Male,53,Germany,6,19310.45,763,1,0,3.0
100169,Customer_100169,Female,29,UK,15,55465.24,782,1,0,1.0
100170,Customer_100170,Male,42,Spain,5,25015.43,715,1,0,4.0
100171,Customer_100171,Female,54,UK,15,48072.4,680,1,1,1.0
100172,Customer_100172,Male,47,France,11,44662.23,755,1,0,2.0
100173,Customer_100173,Male,44,UK,11,40794.64,636,0,0,1.0
100174,Customer_100174,Male,55,Spain,13,51159.69,626,1,0,4.0
100175,Customer_100175,Female,33,UK,13,45101.08,645,1,0,1.0
100176,Customer_100176,Male,42,UK,3,16000.0,582,1,0,1.0
100177,Customer_100177,Male,42,France,6,36308.01,642,1,0,2.0
100178,Customer_100178,Female,39,Spain,8,50854.37,571,1,0,4.0
100179,Customer_100179,Female,37,Spain,15,87864.59,732,0,0,4.0
100180,Customer_100180,Male,43,Germany,0,89709.4,696,1,0,3.0
100181,Customer_100181,Female,42,Spain,7,22742.87,762,1,0,4.0
100182,Customer_100182,Female,29,Spain,3,35884.06,533,1,0,4.0
100183,Customer_100183,Male,52,France,3,20757.71,798,1,0,2.0
100184,Customer_100184,Female,30,UK,12,83230.84,537,1,0,1.0
100185,Customer_100185,Male,39,Germany,3,66251.29,565,1,0,3.0
100186,Customer_100186,Female,38,Germany,12,49177.4,608,1,0,3.0
100187,Customer_100187,Male,46,UK,15,45259.49,753,1,1,1.0
100188,Customer_100188,Female,18,UK,12,78175.29,672,0,0,1.0
100189,Customer_100189,Male,53,Germany,2,72440.53,637,1,0,3.0
100190,Customer_100190,Male,34,UK,2,70724.34,596,1,0,1.0
100191,Customer_100191,Female,57,Spain,6,51582.14,552,0,1,4.0
100192,Customer_100192,Male,36,UK,8,35892.09,740,1,1,1.0
100193,Customer_100193,Female,41,UK,12,59315.8,715,0,1,1.0
100194,Customer_100194,Female,65,Germany,6,60635.98,756,0,1,3.0
100195,Customer_100195,Female,39,UK,2,38547.17,685,0,1,1.0
100196,Customer_100196,Male,57,UK,15,35859.47,457,1,1,1.0
100197,Customer_100197,Female,42,France,14,69941.6,562,0,0,2.0
100198,Customer_100198,Male,47,Spain,10,88812.01,690,1,0,4.0
100199,Customer_100199,Male,43,UK,11,29977.33,627,1,0,1.0
100200,Customer_100200,Female,52,UK,14,37305.85,613,0,0,1.0
100201,Customer_100201,Female,34,Germany,7,49185.04,572,1,0,3.0
100202,Customer_100202,Female,30,Spain,2,52281.32,726,0,0,4.0
100203,Customer_100203,Male,34,France,9,33201.82,689,1,0,2.0
100204,Customer_100204,Female,43,UK,7,98028.07,693,1,0,1.0
100205,Customer_100205,Female,39,UK,12,50785.58,607,1,0,1.0
100206,Customer_100206,Male,51,UK,12,53345.63,668,0,0,1.0
100207,Customer_100207,Female,58,UK,7,92681.37,555,1,0,1.0
100208,Customer_100208,Male,30,Germany,5,34315.32,645,0,0,3.0
100209,Customer_100209,Male,33,UK,6,40361.46,465,1,0,1.0
100210,Customer_100210,Female,25,France,10,23895.13,537,0,1,2.0
100211,Customer_100211,Female,66,Germany,10,38865.69,631,1,0,3.0
100212,Customer_100212,Male,46,France,8,21491.39,833,1,0,2.0
100213,Customer_100213,Male,48,UK,8,58803.53,520,1,0,1.0
100214,Customer_100214,Male,26,Germany,15,50737.65,562,1,0,3.0
100215,Customer_100215,Female,42,Germany,4,37076.69,671,0,0,3.0
100216,Customer_100216,Male,48,Germany,2,40144.24,788,1,0,3.0
100217,Customer_100217,Male,39,UK,12,59164.96,670,1,1,1.0
100218,Customer_100218,Female,55,UK,14,25192.88,708,0,0,1.0
100219,Customer_100219,Male,70,Spain,9,46041.59,630,0,0,4.0
100220,Customer_100220,Female,31,UK,6,57538.2,617,0,1,1.0
100221,Customer_100221,Male,30,UK,5,18833.67,661,1,0,1.0
100222,Customer_100222,Female,31,France,7,57162.14,606,0,0,2.0
100223,Customer_100223,Male,61,Germany,0,19773.48,709,1,1,3.0
100224,Customer_100224,Male,55,Spain,8,39835.25,535,1,0,4.0
100225,Customer_100225,Male,40,UK,4,24881.97,722,0,0,1.0
100226,Customer_100226,Female,42,Spain,4,79976.32,658,1,0,4.0
100227,Customer_100227,Female,32,UK,8,24952.28,639,1,0,1.0
100228,Customer_100228,Male,53,France,15,19987.04,532,1,1,2.0
100229,Customer_100229,Male,37,France,3,44597.51,582,1,0,2.0
100230,Customer_100230,Female,39,UK,14,34865.69,745,1,0,1.0
100231,Customer_100231,Male,49,UK,8,21340.3,639,1,0,1.0
100232,Customer_100232,Male,40,France,15,53212.13,676,0,0,2.0
100233,Customer_100233,Female,39,Spain,6,17141.37,589,0,0,4.0
100234,Customer_100234,Male,42,France,15,26347.18,653,1,0,2.0
100235,Customer_100235,Male,52,Spain,10,32421.49,552,1,1,4.0
100236,Customer_100236,Male,62,Germany,10,60260.07,662,1,0,3.0
100237,Customer_100237,Male,49,France,9,75236.04,683,1,0,2.0
100238,Customer_100238,Female,52,Germany,7,68987.24,679,1,0,3.0
100239,Customer_100239,Female,40,UK,8,39200.77,587,1,0,1.0
100240,Customer_100240,Female,34,UK,13,16000.0,629,0,0,1.0
100241,Customer_100241,Male,50,Germany,12,50076.58,695,1,0,3.0
100242,Customer_100242,Female,44,Germany,0,81404.28,639,1,0,3.0
100243,Customer_100243,Male,25,UK,11,73176.57,633,1,0,1.0
100244,Customer_100244,Female,38,France,13,51727.87,798,0,0,2.0
100245,Customer_100245,Male,41,France,11,24591.32,584,1,0,2.0
100246,Customer_100246,Female,36,Spain,7,33157.92,736,1,0,4.0
100247,Customer_100247,Male,60,France,5,100271.96,568,0,0,2.0
100248,Customer_100248,Male,48,France,10,22201.09,704,1,0,2.0
100249,Customer_100249,Male,58,UK,10,25056.7,708,1,0,1.0
100250,Customer_100250,Male,45,France,5,64188.1,617,1,0,2.0
100251,Customer_100251,Male,43,Germany,6,34592.88,564,0,0,3.0
100252,Customer_100252,Female,31,Spain,5,24677.2,507,0,0,4.0
100253,Customer_100253,Female,42,France,0,83534.24,609,1,0,2.0
100254,Customer_100254,Male,42,UK,0,51683.82,694,0,0,1.0
100255,Customer_100255,Female,26,UK,1,35369.83,574,0,0,1.0
100256,Customer_100256,Female,36,Germany,6,25080.01,662,0,1,3.0
100257,Customer_100257,Female,38,Germany,8,105530.77,544,0,0,3.0
100258,Customer_100258,Female,47,UK,6,41540.39,637,0,0,1.0
100259,Customer_100259,Female,48,UK,15,78764.88,569,1,0,1.0
100260,Customer_100260,Female,35,France,3,62790.56,649,1,0,2.0
100261,Customer_100261,Female,48,UK,6,33223.71,617,0,0,1.0
100262,Customer_100262,Female,40,Germany,3,33342.94,566,1,0,3.0
100263,Customer_100263,Male,18,UK,4,80520.46,606,1,0,1.0
100264,Customer_100264,Male,36,UK,9,81109.69,585,0,1,1.0
100265,Customer_100265,Male,55,Spain,4,18048.41,556,0,1,4.0
100266,Customer_100266,Female,22,UK,5,53789.09,736,1,0,1.0
100267,Customer_100267,Male,43,UK,10,39770.4,628,0,0,1.0
100268,Customer_100268,Female,61,UK,13,26381.8,490,1,0,1.0
100269,Customer_100269,Female,33,UK,3,47250.13,608,0,0,1.0
100270,Customer_100270,Female,42,UK,1,22882.01,724,0,0,1.0
100271,Customer_100271,Male,26,UK,3,34047.78,598,1,0,1.0
100272,Customer_100272,Female,62,UK,9,29322.54,767,1,0,1.0
100273,Customer_100273,Female,41,UK,15,33540.83,591,0,1,1.0
100274,Customer_100274,Male,43,France,2,40670.55,693,1,0,2.0
100275,Customer_100275,Female,58,Germany,0,26593.44,733,1,0,3.0
100276,Customer_100276,Male,50,UK,8,85251.03,689,1,0,1.0
100277,Customer_100277,Female,31,UK,15,52438.82,552,1,1,1.0
100278,Customer_100278,Male,34,France,8,94181.43,584,1,0,2.0
100279,Customer_100279,Male,48,Spain,14,39080.89,743,0,0,4.0
100280,Customer_100280,Male,35,Spain,10,32809.37,595,1,0,4.0
100281,Customer_100281,Male,18,UK,0,92661.83,728,1,0,1.0
100282,Customer_100282,Male,41,UK,6,32380.06,623,1,0,1.0
100283,Customer_100283,Female,24,UK,12,38761.92,666,1,0,1.0
100284,Customer_100284,Male,61,UK,8,58072.43,551,1,0,1.0
100285,Customer_100285,Male,44,France,3,24063.42,609,0,0,2.0
100286,Customer_100286,Female,31,France,2,57844.14,589,0,1,2.0
100287,Customer_100287,Female,34,UK,10,54607.75,672,1,0,1.0
100288,Customer_100288,Female,19,UK,7,74356.12,662,0,0,1.0
100289,Customer_100289,Female,29,France,9,62689.23,690,1,0,2.0
100290,Customer_100290,Male,54,UK,5,75388.89,618,1,0,1.0
100291,Customer_100291,Female,69,Germany,5,39964.03,585,0,0,3.0
100292,Customer_100292,Male,51,UK,10,28487.57,669,1,0,1.0
100293,Customer_100293,Female,41,Spain,0,108544.81,578,0,1,4.0
100294,Customer_100294,Female,37,UK,6,21129.21,736,1,0,1.0
100295,Customer_100295,Female,31,Germany,5,22103.56,646,0,0,3.0
100296,Customer_100296,Female,67,Spain,12,54161.87,631,1,0,4.0
100297,Customer_100297,Female,40,Spain,11,87261.85,690,1,0,4.0
100298,Customer_100298,Male,67,Germany,6,45739.74,649,1,0,3.0
100299,Customer_100299,Female,59,Germany,4,65848.48,531,0,0,3.0
100300,Customer_100300,Female,21,France,3,,575,1,0,2.0
100301,Customer_100301,Female,34,Germany,3,33544.55,734,1,0,3.0
100302,Customer_100302,Male,34,UK,4,18072.53,661,1,0,1.0
100303,Customer_100303,Male,41,France,12,59671.5,529,1,0,2.0
100304,Customer_100304,Female,41,France,0,20934.86,681,1,0,2.0
100305,Customer_100305,Male,78,Spain,0,23633.17,613,0,0,4.0
100306,Customer_100306,Male,29,France,8,52930.57,589,1,0,2.0
100307,Customer_100307,Male,45,UK,3,67727.38,569,1,1,1.0
100308,Customer_100308,Female,49,France,13,39100.45,730,1,0,2.0
100309,Customer_100309,Male,42,UK,12,54284.96,508,1,1,1.0
100310,Customer_100310,Male,43,UK,12,53499.61,592,1,0,1.0
100311,Customer_100311,Male,29,France,7,38119.56,664,1,0,2.0
100312,Customer_100312,Female,43,France,7,25663.05,773,1,0,2.0
100313,Customer_100313,Female,48,UK,6,54156.11,697,0,1,1.0
100314,Customer_100314,Male,46,UK,3,55343.69,592,1,0,1.0
100315,Customer_100315,Male,49,UK,9,62801.6,770,1,0,1.0
100316,Customer_100316,Female,59,UK,13,48332.27,553,1,0,1.0
100317,Customer_100317,Male,53,UK,4,24824.84,675,0,0,1.0
100318,Customer_100318,Female,43,Germany,0,57301.26,692,0,0,3.0
100319,Customer_100319,Male,28,UK,9,41973.91,589,1,0,1.0
100320,Customer_100320,Female,35,Spain,6,33799.22,707,1,0,4.0
100321,Customer_100321,Male,39,Spain,12,36784.75,616,1,0,4.0
100322,Customer_100322,Female,45,France,13,30785.81,707,0,0,2.0
100323,Customer_100323,Male,36,UK,15,62655.37,517,1,0,1.0
100324,Customer_100324,Female,31,France,6,22187.25,680,1,0,2.0
100325,Customer_100325,Female,28,Germany,14,26859.0,624,1,0,3.0
100326,Customer_100326,Female,22,Germany,1,36224.0,741,1,1,3.0
100327,Customer_100327,Male,39,Germany,5,86821.78,652,1,0,3.0
100328,Customer_100328,Male,24,France,4,67497.86,749,1,0,2.0
100329,Customer_100329,Female,30,France,14,20071.31,693,0,1,2.0
100330,Customer_100330,Female,37,UK,9,77151.87,645,0,0,1.0
100331,Customer_100331,Male,26,Germany,5,77085.0,714,1,0,3.0
100332,Customer_100332,Male,47,UK,2,24763.38,715,1,0,1.0
100333,Customer_100333,Male,51,Germany,12,16000.0,690,0,0,3.0
100334,Customer_100334,Female,35,Spain,10,40656.95,483,0,0,4.0
100335,Customer_100335,Female,37,UK,13,69599.72,581,0,0,1.0
100336,Customer_100336,Female,48,France,7,85947.57,759,0,1,2.0
100337,Customer_100337,Female,33,UK,2,28383.2,561,1,0,1.0
100338,Customer_100338,Male,33,Germany,5,92393.83,721,1,0,3.0
100339,Customer_100339,Male,56,UK,9,16000.0,708,1,0,1.0
100340,Customer_100340,Male,53,Spain,3,35589.36,601,1,0,4.0
100341,Customer_100341,Female,49,UK,1,34810.7,505,0,0,1.0
100342,Customer_100342,Male,53,Spain,13,70542.92,612,1,1,4.0
100343,Customer_100343,Male,18,Germany,8,75332.05,811,1,0,3.0
100344,Customer_100344,Male,58,France,6,64526.13,590,1,0,2.0
100345,Customer_100345,Male,47,Germany,8,22872.2,595,0,1,3.0
100346,Customer_100346,Female,54,Germany,11,61920.31,580,0,1,3.0
100347,Customer_100347,Male,47,Spain,0,52812.0,746,1,0,4.0
100348,Customer_100348,Male,43,UK,7,19798.66,637,1,0,1.0
100349,Customer_100349,Female,39,France,4,16568.67,608,1,0,2.0
100350,Customer_100350,Male,46,UK,1,67004.84,761,1,1,1.0
100351,Customer_100351,Male,38,France,0,38730.4,698,1,0,2.0
100352,Customer_100352,Male,52,UK,7,23554.99,586,1,0,1.0
100353,Customer_100353,Female,23,France,8,,563,0,0,2.0
100354,Customer_100354,Male,36,France,8,49476.02,742,1,0,2.0
100355,Customer_100355,Female,67,France,12,40462.94,656,1,0,2.0
100356,Customer_100356,Female,34,France,7,20890.11,539,0,0,2.0
100357,Customer_100357,Female,39,Germany,9,98117.94,521,1,0,3.0
100358,Customer_100358,Male,31,Germany,13,65994.26,571,0,0,3.0
100359,Customer_100359,Female,46,France,10,36116.5,562,1,0,2.0
100360,Customer_100360,Male,33,France,14,36777.16,502,1,0,2.0
100361,Customer_100361,Male,40,Spain,3,49374.74,573,1,0,4.0
100362,Customer_100362,Female,52,UK,12,25262.98,586,1,0,1.0
100363,Customer_100363,Male,34,UK,11,48563.59,620,0,0,1.0
100364,Customer_100364,Male,51,UK,9,23077.08,782,1,0,1.0
100365,Customer_100365,Male,52,Germany,0,40687.84,635,1,0,3.0
100366,Customer_100366,Male,55,France,8,24824.04,642,1,0,2.0
100367,Customer_100367,Male,44,Germany,13,25394.48,693,0,1,3.0
100368,Customer_100368,Female,80,Germany,10,88079.94,637,1,0,3.0
100369,Customer_100369,Female,55,UK,0,43134.42,685,1,0,1.0
100370,Customer_100370,Male,46,Spain,4,46108.74,676,0,1,4.0
100371,Customer_100371,Female,31,Germany,9,16988.7,664,1,0,3.0
100372,Customer_100372,Male,41,UK,12,32105.23,850,1,0,1.0
100373,Customer_100373,Male,59,UK,7,51687.45,723,1,0,1.0
100374,Customer_100374,Male,63,UK,13,45834.22,574,1,0,1.0
100375,Customer_100375,Male,60,UK,12,16000.0,683,0,0,1.0
100376,Customer_100376,Male,51,UK,4,46103.17,596,1,0,1.0
100377,Customer_100377,Male,27,Spain,3,49532.11,688,0,0,4.0
100378,Customer_100378,Male,48,France,14,74840.75,552,1,0,2.0
100379,Customer_100379,Female,27,UK,9,31274.89,572,1,0,1.0
100380,Customer_100380,Male,24,Germany,13,16000.0,681,1,0,3.0
100381,Customer_100381,Male,45,France,14,26819.33,730,1,0,2.0
100382,Customer_100382,Male,48,Spain,6,25635.81,693,1,0,4.0
100383,Customer_100383,Female,53,Germany,0,58509.47,719,1,0,3.0
100384,Customer_100384,Male,48,France,14,16000.0,683,1,0,2.0
100385,Customer_100385,Female,48,UK,9,34326.21,668,0,0,1.0
100386,Customer_100386,Male,30,Spain,1,79780.38,617,1,0,4.0
100387,Customer_100387,Male,41,Germany,8,42136.54,716,1,1,3.0
100388,Customer_100388,Female,24,Spain,0,62866.42,732,1,0,4.0
100389,Customer_100389,Male,18,UK,4,20062.66,650,1,0,1.0
100390,Customer_100390,Male,51,Spain,5,20425.3,646,1,1,4.0
100391,Customer_100391,Male,33,France,7,80192.4,774,0,0,2.0
100392,Customer_100392,Female,52,UK,9,43957.2,653,1,0,1.0
100393,Customer_100393,Female,55,France,13,43997.95,661,1,0,2.0
100394,Customer_100394,Female,35,Germany,5,25393.69,691,1,0,3.0
100395,Customer_100395,Female,49,UK,11,43948.63,648,1,0,1.0
