AccountID,CustomerID,AccountType,CurrentBalance,OverdraftLimit,AccountStatus
500339,100220,Savings,29458.5,0,Open
500340,100220,Current,45810.62,500,Open
500341,100220,Current,43958.1,0,Open
500342,100221,Current,12667.21,1000,Open
500343,100221,Current,8361.08,0,Open
500344,100222,Current,23239.25,0,Open
500345,100223,Savings,16509.82,0,Open
500346,100224,Current,6707.73,500,Open
500347,100224,Current,13618.28,1500,Open
500348,100225,Current,4015.26,1500,Open
500349,100226,Current,35968.69,2000,Open
500350,100226,Current,75002.49,2000,Open
500351,100226,Savings,66510.18,0,Open
500352,100227,ISA,36764.8,0,Open
500353,100228,Current,11447.13,1500,Open
500354,100228,Current,5156.5,1000,Open
500355,100228,Savings,10551.31,0,Open
500356,100229,Current,27335.84,1500,Open
500357,100230,Current,27578.58,1000,Open
500358,100230,Current,13107.07,1000,Open
500359,100231,Current,4402.67,0,Open
500360,100232,Savings,96790.94,0,Open
500361,100233,Savings,35645.97,0,Open
500362,100234,ISA,49581.46,0,Open
500363,100235,Current,28377.05,0,Open
500364,100235,Current,6835.91,2000,Open
500365,100236,Current,23861.91,1000,Dormant
500366,100236,Savings,14502.11,0,Open
500367,100237,Savings,24510.66,0,Open
500368,100237,Savings,26087.32,0,Open
500369,100238,Current,16306.67,0,Open
500370,100239,Current,21238.67,0,Open
500371,100239,Current,22184.45,500,Open
500372,100240,Savings,1655.42,0,Open
500373,100241,Current,26057.41,0,Open
500374,100241,Current,6397.97,500,Open
500375,100241,Savings,27976.29,0,Open
500376,100242,Current,61088.48,1500,Dormant
500377,100243,Savings,24528.68,0,Open
500378,100244,Savings,17282.34,0,Open
500379,100244,Savings,12272.08,0,Open
500380,100244,Current,4019.66,0,Open
500381,100245,Current,11889.41,0,Open
500382,100246,Current,12553.27,2000,Open
500383,100247,Current,31947.79,1500,Open
500384,100247,Current,51668.26,500,Open
500385,100248,Current,23623.39,2000,Open
500386,100248,Current,11229.46,0,Open
500387,100248,Savings,2880.13,0,Open
500388,100249,Current,4221.25,2000,Dormant
500389,100250,Current,28005.54,0,Open
500390,100251,Current,23450.19,500,Open
500391,100252,Current,15089.65,2000,Open
500392,100252,Savings,2273.59,0,Open
500393,100253,Current,17097.59,1000,Open
500394,100253,Current,41322.78,1000,Open
500395,100254,Current,33695.13,1500,Open
500396,100255,Current,1732.85,500,Open
500397,100255,Current,6387.5,1000,Open
500398,100256,Current,6300.57,1000,Open
500399,100256,Current,17737.36,0,Open
500400,100257,Current,101704.57,0,Open
500401,100258,Current,11999.02,0,Open
500402,100259,Current,42525.17,500,Open
500403,100260,Current,39049.98,0,Open
500404,100260,Savings,84113.84,0,Open
500405,100260,Current,16398.48,0,Open
500406,100261,Current,20398.3,0,Open
500407,100262,Current,11764.17,0,Open
500408,100263,ISA,51195.2,0,Open
500409,100264,Current,75665.11,0,Open
500410,100265,Current,10542.87,0,Open
500411,100265,Current,12889.27,0,Open
500412,100266,Current,3626.67,1000,Open
500413,100266,Current,7601.78,0,Open
500414,100267,Current,13563.92,0,Open
500415,100268,ISA,22953.7,0,Open
500416,100269,Savings,17653.31,0,Open
500417,100270,Savings,12036.26,0,Open
500418,100270,Savings,26793.84,0,Open
500419,100270,Savings,8307.27,0,Open
500420,100271,Current,10416.03,0,Open
500421,100271,Current,31079.08,1500,Open
500422,100272,ISA,31893.38,0,Open
500423,100272,Savings,16734.16,0,Open
500424,100273,Current,3060.26,1500,Open
500425,100273,Savings,6022.39,0,Open
500426,100274,ISA,35967.08,0,Open
500427,100275,Savings,42707.75,0,Open
500428,100276,Savings,20148.65,0,Open
500429,100276,Savings,90072.87,0,Open
500430,100277,Current,22845.88,0,Open
500431,100278,Current,63830.7,500,Open
500432,100278,Current,8715.86,2000,Open
500433,100279,ISA,70544.57,0,Open
500434,100280,Savings,46688.73,0,Dormant
500435,100280,Savings,22477.41,0,Open
500436,100281,Savings,44499.13,0,Open
500437,100282,Current,6908.65,500,Open
500438,100283,Current,2999.11,0,Open
500439,100284,Savings,17791.37,0,Open
500440,100284,Current,12795.76,500,Open
500441,100285,Savings,57052.76,0,Open
500442,100285,Savings,32695.79,0,Open
500443,100286,Savings,54515.75,0,Open
500444,100286,ISA,30113.89,0,Open
500445,100287,ISA,16129.21,0,Open
500446,100288,Savings,113150.39,0,Open
500447,100289,Current,22330.27,2000,Open
500448,100289,Current,49474.05,1000,Open
500449,100289,Current,17424.67,1000,Open
500450,100290,Current,42227.42,1500,Dormant
500451,100291,Savings,22180.46,0,Open
500452,100292,Current,19148.42,2000,Open
500453,100292,ISA,29586.15,0,Open
500454,100293,Savings,128004.86,0,Open
500455,100293,Current,42488.88,0,Open
500456,100294,Savings,2668.17,0,Open
500457,100295,ISA,26607.07,0,Open
500458,100296,ISA,13913.67,0,Open
500459,100296,Current,33284.22,1500,Open
500460,100297,Savings,83864.5,0,Open
500461,100298,Current,18329.49,0,Open
500462,100298,Current,28853.48,1000,Open
500463,100299,Savings,144360.23,0,Open
500464,100300,Current,13405.22,0,Open
500465,100301,Current,17870.71,1000,Open
500466,100302,Savings,14665.92,0,Open
500467,100302,Current,8222.85,2000,Open
500468,100303,Current,8823.88,0,Open
500469,100304,Current,9308.52,0,Open
500470,100305,Current,21633.55,0,Open
500471,100306,Current,4776.47,0,Open
500472,100306,Savings,27405.23,0,Open
500473,100307,Current,46636.2,500,Open
500474,100307,Current,36445.07,0,Open
500475,100308,Savings,29462.32,0,Open
500476,100308,Current,6431.96,1000,Open
500477,100309,ISA,78626.69,0,Open
500478,100310,Savings,17696.22,0,Open
500479,100310,Current,11036.25,1500,Open
500480,100311,Current,17849.48,1500,Open
500481,100312,Current,17783.51,1000,Open
500482,100312,Current,2617.9,1500,Open
500483,100313,Savings,14863.91,0,Open
500484,100314,Savings,58296.38,0,Open
500485,100315,Savings,22490.54,0,Open
500486,100315,Savings,53114.01,0,Open
500487,100316,Current,18220.36,0,Open
500488,100317,Current,908.2,2000,Open
500489,100317,Current,13739.82,1500,Open
500490,100317,Savings,25923.2,0,Open
500491,100318,Current,33544.37,1500,Open
500492,100318,ISA,71086.57,0,Open
500493,100318,ISA,85931.39,0,Open
500494,100319,Savings,29709.5,0,Open
500495,100319,ISA,19465.51,0,Open
500496,100319,Current,20942.5,500,Dormant
500497,100320,Current,5635.25,0,Open
500498,100321,Savings,30432.37,0,Open
500499,100322,Savings,25238.26,0,Open
500500,100322,ISA,30187.58,0,Dormant
500501,100323,Current,30865.28,0,Open
500502,100324,Savings,3782.81,0,Open
500503,100325,Current,7621.69,1500,Open
500504,100326,Savings,49964.78,0,Open
500505,100326,Current,25240.07,500,Open
500506,100327,Current,19320.71,0,Open
500507,100328,Current,64956.13,0,Open
500508,100329,Current,21422.69,2000,Open
500509,100330,Current,15505.96,1000,Open
500510,100330,Current,15325.64,1500,Open
500511,100330,Current,39690.91,1500,Open
500512,100331,Current,70027.67,1500,Open
500513,100332,Savings,8501.93,0,Open
500514,100333,Savings,24043.91,0,Open
500515,100334,Savings,19487.89,0,Open
500516,100334,Current,32614.76,0,Open
500517,100334,Savings,37071.94,0,Open
500518,100335,Current,3444.18,1000,Open
500519,100335,ISA,150747.22,0,Open
500520,100336,ISA,35817.76,0,Open
500521,100336,Savings,10567.38,0,Open
500522,100337,Current,976.08,500,Open
500523,100337,ISA,10442.14,0,Open
500524,100337,Current,1447.32,0,Open
500525,100338,Current,46375.54,0,Open
500526,100338,Savings,10675.11,0,Open
500527,100339,Current,5190.07,0,Open
500528,100339,ISA,17411.0,0,Open
500529,100340,ISA,13550.18,0,Open
500530,100341,Current,16619.5,2000,Open
500531,100341,Current,13588.6,1000,Open
500532,100342,Current,24660.02,0,Open
500533,100343,Savings,15861.13,0,Open
500534,100343,Current,13599.02,1500,Open
500535,100344,Current,9259.12,0,Open
500536,100345,Savings,3701.77,0,Open
500537,100346,Current,14774.78,0,Open
500538,100347,Savings,37797.92,0,Open
500539,100348,Current,7681.88,0,Open
500540,100348,Current,2990.02,1500,Open
500541,100349,Current,16127.27,1000,Open
500542,100350,Current,31200.2,1000,Open
500543,100351,Current,22246.74,500,Open
500544,100351,Current,26196.59,0,Open
500545,100352,Savings,4201.6,0,Open
500546,100353,Savings,2940.94,0,Open
500547,100353,Current,21257.01,1000,Open
500548,100353,Current,10987.7,0,Open
500549,100354,Savings,66075.88,0,Open
500550,100355,Savings,37455.9,0,Open
500551,100356,ISA,74026.15,0,Open
500552,100356,Current,4570.69,0,Open
500553,100357,Savings,196784.86,0,Open
500554,100358,Current,13860.08,2000,Open
500555,100358,Savings,28989.72,0,Open
500556,100359,Current,3119.07,1000,Open
500557,100359,Savings,3713.49,0,Open
500558,100360,ISA,87871.45,0,Open
500559,100361,Current,12671.72,0,Open
500560,100361,Savings,63007.81,0,Open
500561,100362,Current,1526.29,0,Open
500562,100363,Current,44894.16,0,Open
500563,100364,Savings,3590.85,0,Open
500564,100365,Current,33177.76,0,Open
500565,100365,Current,6616.22,0,Open
500566,100366,Savings,10290.83,0,Open
500567,100367,Current,11403.04,1500,Open
500568,100367,Current,1737.79,0,Open
500569,100367,Savings,17477.14,0,Open
500570,100368,Current,7067.35,0,Open
500571,100368,Savings,11863.2,0,Open
500572,100368,ISA,56351.58,0,Open
500573,100369,ISA,12558.96,0,Open
500574,100369,Current,19910.1,1000,Open
500575,100370,Current,28291.97,1000,Open
500576,100370,Current,8351.07,0,Open
500577,100371,Current,4165.75,0,Open
500578,100372,ISA,10143.85,0,Open
500579,100373,Current,29827.23,500,Open
500580,100373,Current,23200.55,0,Open
500581,100374,Current,6694.98,1000,Open
500582,100375,Savings,10344.0,0,Open
500583,100375,Current,2272.6,500,Dormant
500584,100376,Savings,34481.15,0,Open
500585,100376,Current,20000.32,0,Open
500586,100377,Current,53747.85,1500,Open
500587,100378,Savings,107137.94,0,Open
500588,100378,Current,63423.86,0,Open
500589,100378,Current,28299.99,0,Open
500590,100379,Savings,25925.53,0,Open
500591,100380,Current,5884.49,0,Open
500592,100381,ISA,46648.93,0,Open
500593,100381,Savings,24966.4,0,Open
500594,100381,Current,7907.82,0,Open
500595,100382,Savings,47442.33,0,Open
500596,100383,Savings,34775.71,0,Open
500597,100384,Current,2339.63,0,Open
500598,100385,Current,26369.34,1000,Open
500599,100385,Savings,32418.69,0,Open
500600,100385,Savings,43932.32,0,Open
500601,100386,Savings,39931.48,0,Open
500602,100386,Savings,45777.89,0,Open
500603,100387,Current,4685.54,0,Open
500604,100387,Savings,46321.76,0,Open
500605,100388,Current,13164.45,2000,Open
500606,100389,Savings,5770.21,0,Open
500607,100390,Current,14512.32,1000,Open
500608,100391,Current,32718.12,1000,Open
500609,100391,Current,52688.09,1000,Open
500610,100392,Current,41130.25,1500,Open
500611,100393,Savings,8676.7,0,Open
500612,100393,Current,7723.2,1000,Open
500613,100394,Savings,22692.63,0,Open
500614,100394,Savings,29294.1,0,Open
500615,100395,Current,12712.88,1500,Open
500616,100396,Current,4416.51,1500,Open
500617,100396,Savings,9037.92,0,Open
500618,100397,Savings,12859.69,0,Dormant
500619,100398,Savings,160979.54,0,Open
500620,100398,Savings,14735.88,0,Open
500621,100399,Current,19526.33,1000,Open
500622,100400,Current,22418.4,1000,Open
500623,100401,Current,2644.13,1000,Open
500624,100401,Savings,839.34,0,Dormant
500625,100402,Current,4904.32,0,Open
500626,100402,Current,979.34,0,Open
500627,100403,Savings,132806.74,0,Dormant
500628,100404,Savings,16280.15,0,Open
500629,100405,Current,2800.35,1000,Open
500630,100406,Savings,93674.49,0,Open
500631,100406,Savings,80539.78,0,Open
500632,100407,Savings,9868.36,0,Open
500633,100408,Savings,22394.33,0,Open
500634,100408,Current,21130.75,1000,Open
500635,100409,Savings,4107.83,0,Open
500636,100410,ISA,72551.79,0,Open
500637,100411,Current,16504.02,2000,Open
500638,100411,Current,10837.14,0,Open
500639,100412,Current,21806.75,1500,Open
500640,100412,Savings,59043.24,0,Open
500641,100413,Current,9754.24,0,Open
500642,100413,Current,25354.3,0,Open
500643,100414,Current,27018.24,1000,Open
500644,100414,Savings,29260.93,0,Open
500645,100414,Current,9514.21,0,Open
500646,100415,Savings,154168.47,0,Open
500647,100415,Savings,69743.37,0,Open
500648,100416,Current,29888.7,0,Open
500649,100417,Savings,28709.08,0,Open
500650,100418,Current,5565.36,1500,Open
500651,100419,ISA,75654.66,0,Open
500652,100420,Current,12466.09,1000,Open
500653,100421,Savings,7469.45,0,Open
500654,100421,Savings,49248.88,0,Open
500655,100422,Current,40546.29,500,Open
500656,100422,Current,10946.59,0,Open
500657,100423,Current,30285.51,1000,Open
500658,100424,Current,54314.87,500,Open
500659,100425,Savings,73344.14,0,Open
500660,100426,Current,30324.07,0,Open
500661,100426,Current,35122.59,1000,Open
500662,100427,Current,26250.58,0,Open
500663,100427,ISA,18099.49,0,Open
500664,100427,Savings,17066.74,0,Open
500665,100428,Current,13154.38,500,Open
500666,100428,ISA,18905.22,0,Open
500667,100429,Current,9890.08,0,Open
500668,100430,Current,36754.61,2000,Open
500669,100431,Current,11997.98,1500,Open
500670,100432,Current,5715.11,0,Open
500671,100433,Current,27088.19,1500,Open
500672,100434,Savings,170152.37,0,Open
500673,100435,Current,5517.89,500,Open
500674,100436,Savings,9690.73,0,Open
500675,100436,ISA,5283.54,0,Open
500676,100437,Savings,42592.76,0,Open
500677,100438,Current,4150.26,1000,Open
500678,100439,Current,51771.82,2000,Open
500679,100440,ISA,196728.39,0,Open
500680,100441,Savings,63859.37,0,Open
500681,100441,Current,48354.01,0,Open
500682,100442,ISA,22496.39,0,Open
500683,100443,Current,7391.36,0,Open
500684,100444,Current,30110.26,0,Open
500685,100444,Current,18563.54,1000,Open
500686,100444,Savings,37045.21,0,Open
500687,100445,Current,5351.74,0,Open
500688,100446,Savings,70276.27,0,Open
500689,100447,Current,12517.95,1000,Open
500690,100447,Savings,59089.97,0,Open
500691,100448,Current,9865.09,0,Dormant
500692,100448,Current,18414.02,0,Open
500693,100449,Current,14761.57,1500,Open
500694,100450,Current,13325.92,0,Open
500695,100450,Current,5608.16,500,Open
500696,100451,Current,16425.04,500,Open
500697,100452,Current,17001.73,0,Open
500698,100453,Savings,11716.99,0,Open
500699,100453,Current,61599.51,1000,Open
500700,100453,Current,15117.52,1000,Open
500701,100454,Current,57099.24,500,Open
500702,100455,Current,7155.78,0,Open
500703,100456,Current,40737.11,0,Open
500704,100457,Savings,11943.54,0,Open
